http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
																											192.168.1.106									85						1	http://192.168.1.106/web/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/web/
																											192.168.1.106									125						1	http://192.168.1.106/mmmm4mmmmmmm/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/mmmm4mmmmmmm/
																											192.168.1.106									160						1	http://192.168.1.106/UTF-8/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/UTF-8/
																											192.168.1.106									161						1	http://192.168.1.106/UTF-7/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/UTF-7/
																											192.168.1.106									162						1	http://192.168.1.106/%3ch%20xhx%3dyhy%3e/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%3ch%20xhx%3dyhy%3e/
																											192.168.1.106									163						1	http://192.168.1.106/fpwzyqmc/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/fpwzyqmc/
																											192.168.1.106									164						1	http://192.168.1.106/http%3a%252f%252f192.168.1.106.fpwzyqmc/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/http%3a%252f%252f192.168.1.106.fpwzyqmc/
																											192.168.1.106									165						1	http://192.168.1.106/https%3a%252f%252f192.168.1.106.fpwzyqmc/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/https%3a%252f%252f192.168.1.106.fpwzyqmc/
																											192.168.1.106									166						1	http://192.168.1.106/%252f%252f192.168.1.106.fpwzyqmc/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%252f%252f192.168.1.106.fpwzyqmc/
																											192.168.1.106									167						1	http://192.168.1.106/web		GET				HTTP/1.1																							/web
																											192.168.1.106									124						1	http://192.168.1.106/web		GET				HTTP/1.1																							/web
																											192.168.1.106									23						1	http://192.168.1.106/web		GET				HTTP/1.1																							/web
																											192.168.1.106									24						1	http://192.168.1.106/web		GET				HTTP/1.1																							/web
																											192.168.1.106															1	http://192.168.1.106/web		GET				HTTP/1.1																							/web
																											192.168.1.106									179						1	http://192.168.1.106/web		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/web
																											192.168.1.106															1	http://192.168.1.106/web		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/web
																											192.168.1.106									185						1	http://192.168.1.106/should_not_xist_dddddddddd		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/should_not_xist_dddddddddd
																											192.168.1.106									187						1	http://192.168.1.106/web		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/web
																											192.168.1.106									189						1	http://192.168.1.106/123		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/123
																											192.168.1.106									190						1	http://192.168.1.106/'		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/'
																											192.168.1.106									191						1	http://192.168.1.106/%22		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%22
																											192.168.1.106									193						1	http://192.168.1.106/%c2%bf'"(		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%c2%bf'"(
																											192.168.1.106									194						1	http://192.168.1.106/(		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/(
																											192.168.1.106									195						1	http://192.168.1.106/)		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/)
																											192.168.1.106									196						1	http://192.168.1.106/2%2b1		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/2%2b1
																											192.168.1.106									197						1	http://192.168.1.106/1%2b2		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/1%2b2
																											192.168.1.106									198						1	http://192.168.1.106/3%2b5		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/3%2b5
																											192.168.1.106									199						1	http://192.168.1.106/2%2b6		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/2%2b6
																											192.168.1.106									200						1	http://192.168.1.106/3%2ba		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/3%2ba
																											192.168.1.106									201						1	http://192.168.1.106/3%2bb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/3%2bb
																											192.168.1.106									202						1	http://192.168.1.106/1-1		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/1-1
																											192.168.1.106									204						1	http://192.168.1.106/2-2		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/2-2
																											192.168.1.106									205						1	http://192.168.1.106/11-5		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/11-5
																											192.168.1.106									206						1	http://192.168.1.106/12-6		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/12-6
																											192.168.1.106									207						1	http://192.168.1.106/0-a		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/0-a
																											192.168.1.106									208						1	http://192.168.1.106/0-b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/0-b
																											192.168.1.106									209						1	http://192.168.1.106/w'%7c%7c'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w'%7c%7c'eb
																											192.168.1.106									210						1	http://192.168.1.106/w'%2b'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w'%2b'eb
																											192.168.1.106									211						1	http://192.168.1.106/w'%20'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w'%20'eb
																											192.168.1.106									212						1	http://192.168.1.106/w'%7c%7c'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w'%7c%7c'eb
																											192.168.1.106									213						1	http://192.168.1.106/w'%2b'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w'%2b'eb
																											192.168.1.106									214						1	http://192.168.1.106/w'%20'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w'%20'eb
																											192.168.1.106									215						1	http://192.168.1.106/w%7c%7c'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w%7c%7c'eb
																											192.168.1.106									216						1	http://192.168.1.106/w%2b'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w%2b'eb
																											192.168.1.106									217						1	http://192.168.1.106/w%20'eb		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/w%20'eb
																											192.168.1.106									218						1	http://192.168.1.106/webxxx'%20or%208%3d8--		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%208%3d8--
																											192.168.1.106									219						1	http://192.168.1.106/webxxx'%20or%207%3d5--		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%207%3d5--
																											192.168.1.106									220						1	http://192.168.1.106/webxxx'%20or%207%3d7--		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%207%3d7--
																											192.168.1.106									221						1	http://192.168.1.106/webxxx'%20or%205%3d8--		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%205%3d8--
																											192.168.1.106									222						1	http://192.168.1.106/webxxx'%20or%20's'%3d's		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%20's'%3d's
																											192.168.1.106									223						1	http://192.168.1.106/webxxx'%20or%20's'%3d'r		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%20's'%3d'r
																											192.168.1.106									224						1	http://192.168.1.106/webxxx'%20or%20't'%3d't		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%20't'%3d't
																											192.168.1.106									225						1	http://192.168.1.106/webxxx'%20or%20't'%3d'r		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx'%20or%20't'%3d'r
																											192.168.1.106									226						1	http://192.168.1.106/webxxx%22%20or%208%3d8--		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx%22%20or%208%3d8--
																											192.168.1.106									227						1	http://192.168.1.106/webxxx%22%20or%207%3d5--		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/webxxx%22%20or%207%3d5--
